"ticker","year","sen"
SD2,2010,0.0
SD1,2010,0.0
BBC,2010,0.0
SD4,2010,0.0
SCR,2010,0.0
SD3,2010,0.0
SD5,2010,0.0
HNM,2010,0.0
SD8,2010,0.0
SD7,2010,0.0
SD9,2010,0.0
HNP,2010,0.0
HNR,2010,0.0
SDB,2010,0.0
SDA,2010,0.0
BBS,2010,0.0
SDC,2010,0.0
SDG,2010,0.0
SDJ,2010,0.0
SDK,2010,0.0
SDN,2010,0.0
SDP,2010,0.0
DGC,2010,0.0
SDT,2010,0.0
BCC,2010,0.0
BCF,2010,0.0
SDV,2010,0.0
BCE,2010,0.0
SDU,2010,0.0
HOM,2010,0.0
SDY,2010,0.0
HOT,2010,0.0
BCP,2010,0.0
UIC,2010,0.0
DGT,2010,0.0
SEB,2010,0.0
HPB,2010,0.0
DHA,2010,0.0
FLC,2010,0.0
DHC,2010,0.0
HPG,2010,0.0
HPI,2010,0.0
BDB,2010,0.0
DHD,2010,0.0
DHG,2010,0.0
DHM,2010,0.0
HPP,2010,0.0
DHP,2010,0.0
HPT,2010,0.0
DHT,2010,0.0
SFC,2010,0.0
SFI,2010,0.0
SFN,2010,0.0
HQC,2010,0.0
FMC,2010,0.0
DID,2010,0.0
DIC,2010,0.0
BED,2010,0.0
DIH,2010,0.0
DIG,2010,0.0
SGC,2010,0.0
QCC,2010,0.0
SGD,2010,0.0
QCG,2010,0.0
SGH,2010,0.0
JVC,2010,0.0
HRC,2010,0.0
SGS,2010,0.0
SGR,2010,0.0
SGT,2010,0.0
YTC,2010,0.0
SHA,2010,0.0
SHC,2010,0.0
SHI,2010,0.0
SHN,2010,0.0
SHP,2010,0.0
FOC,2010,0.0
HSG,2010,0.0
HSI,2010,0.0
HSM,2010,0.0
DL1,2010,0.0
FOX,2010,0.0
SID,2010,0.0
SIG,2010,0.0
SII,2010,0.0
HTC,2010,0.0
HTG,2010,0.0
SJ1,2010,0.0
BHC,2010,0.0
HTI,2010,0.0
DLD,2010,0.0
DLG,2010,0.0
HTL,2010,0.0
HTP,2010,0.0
HU1,2010,0.0
HU4,2010,0.0
HU3,2010,0.0
HU6,2010,0.0
BHN,2010,0.0
BHP,2010,0.0
DLR,2010,0.0
FPT,2010,0.0
SJD,2010,0.0
DLT,2010,0.0
SJC,2010,0.0
SJE,2010,0.0
SJM,2010,0.0
DMC,2010,0.0
SJS,2010,0.0
HUT,2010,0.0
WSB,2010,0.0
OCH,2010,0.0
FRC,2010,0.0
V12,2010,0.0
V11,2010,0.0
DNC,2010,0.0
HVG,2010,0.0
V15,2010,0.0
HVN,2010,0.0
DNM,2010,0.0
DNL,2010,0.0
DNP,2010,0.0
HVT,2010,0.0
WTC,2010,0.0
UPC,2010,0.0
DNT,2010,0.0
HVX,2010,0.0
QHD,2010,0.0
UPH,2010,0.0
V21,2010,0.0
DOC,2010,0.0
BKC,2010,0.0
SLS,2010,0.0
MA1,2010,0.0
SMA,2010,0.0
SMC,2010,0.0
SMB,2010,0.0
MAC,2010,0.0
DPC,2010,0.0
DPG,2010,0.0
SMT,2010,0.0
BLF,2010,0.0
DPH,2010,0.0
MAS,2010,0.0
DPM,2010,0.0
DPP,2010,0.0
DPR,2010,0.0
SNC,2010,0.0
DQC,2010,0.0
BMC,2010,0.0
BMJ,2010,0.0
BMP,2010,0.0
MCC,2010,0.0
MCG,2010,0.0
MCF,2010,0.0
MCH,2010,0.0
DRC,2010,0.0
MCO,2010,0.0
DRH,2010,0.0
MCP,2010,0.0
DRL,2010,0.0
SPD,2010,0.0
SPC,2010,0.0
SPH,2010,0.0
MDC,2010,0.0
MDF,2010,0.0
MDG,2010,0.0
SPM,2010,0.0
DSN,2010,0.0
DST,2010,0.0
SQC,2010,0.0
C12,2010,0.0
MEC,2010,0.0
KAC,2010,0.0
MED,2010,0.0
MEF,2010,0.0
DTA,2010,0.0
DTC,2010,0.0
BPC,2010,0.0
DTG,2010,0.0
DTH,2010,0.0
DTL,2010,0.0
SRB,2010,0.0
C21,2010,0.0
SRA,2010,0.0
DTT,2010,0.0
SRC,2010,0.0
SRF,2010,0.0
QNC,2010,0.0
KBC,2010,0.0
QNP,2010,0.0
QNS,2010,0.0
SSC,2010,0.0
C32,2010,0.0
SSG,2010,0.0
SSF,2010,0.0
KCB,2010,0.0
KCE,2010,0.0
SSM,2010,0.0
DVC,2010,0.0
BRC,2010,0.0
ST8,2010,0.0
DVP,2010,0.0
STC,2010,0.0
C47,2010,0.0
STG,2010,0.0
MHC,2010,0.0
STL,2010,0.0
KDC,2010,0.0
STK,2010,0.0
KDH,2010,0.0
STP,2010,0.0
MHL,2010,0.0
STT,2010,0.0
BSC,2010,0.0
STS,2010,0.0
C4G,2010,0.0
BSL,2010,0.0
BT1,2010,0.0
BSQ,2010,0.0
BST,2010,0.0
BT6,2010,0.0
MIC,2010,0.0
MIM,2010,0.0
BTB,2010,0.0
DXG,2010,0.0
BTD,2010,0.0
BTG,2010,0.0
BTH,2010,0.0
DXL,2010,0.0
DXP,2010,0.0
BTP,2010,0.0
SVC,2010,0.0
BTT,2010,0.0
DXV,2010,0.0
BTW,2010,0.0
ONE,2010,0.0
SVI,2010,0.0
SVN,2010,0.0
SVT,2010,0.0
SWC,2010,0.0
ICG,2010,0.0
ICF,2010,0.0
ICI,2010,0.0
BVG,2010,0.0
MKP,2010,0.0
QST,2010,0.0
ICN,2010,0.0
DZM,2010,0.0
MKV,2010,0.0
BVN,2010,0.0
ICT,2010,0.0
QTC,2010,0.0
OPC,2010,0.0
BWA,2010,0.0
IDJ,2010,0.0
KHL,2010,0.0
IDI,2010,0.0
KHP,2010,0.0
KHS,2010,0.0
IDV,2010,0.0
C92,2010,0.0
BWS,2010,0.0
BXH,2010,0.0
KIP,2010,0.0
GAS,2010,0.0
SZB,2010,0.0
SZC,2010,0.0
MNB,2010,0.0
SZL,2010,0.0
IFS,2010,0.0
XDH,2010,0.0
KKC,2010,0.0
GCB,2010,0.0
MPC,2010,0.0
IHK,2010,0.0
GDT,2010,0.0
VBC,2010,0.0
GDW,2010,0.0
VBH,2010,0.0
VC2,2010,0.0
VC1,2010,0.0
VC3,2010,0.0
GEG,2010,0.0
VC6,2010,0.0
VC5,2010,0.0
VC7,2010,0.0
VC9,2010,0.0
KMR,2010,0.0
KMT,2010,0.0
GER,2010,0.0
VCA,2010,0.0
VCC,2010,0.0
VCF,2010,0.0
VCG,2010,0.0
VCM,2010,0.0
IJC,2010,0.0
VCR,2010,0.0
VCT,2010,0.0
VCS,2010,0.0
VCX,2010,0.0
VCW,2010,0.0
EBS,2010,0.0
VDL,2010,0.0
VDN,2010,0.0
VE2,2010,0.0
MSH,2010,0.0
VDP,2010,0.0
VE1,2010,0.0
VE4,2010,0.0
VE3,2010,0.0
GGG,2010,0.0
VDT,2010,0.0
VE8,2010,0.0
MSN,2010,0.0
ECI,2010,0.0
L10,2010,0.0
VE9,2010,0.0
L12,2010,0.0
