Company_Code,ticker,company_name,sector
SD2,SD2,Công ty Cổ phần Sông Đà 2,Xây dựng
SD1,SD1,Công ty Cổ phần Sông Đà 1,Xây dựng
BBC,BBC,Công ty Cổ phần Bibica,Thực phẩm
SD4,SD4,Công ty Cổ phần Sông Đà 4,Xây dựng
SCR,SCR,Công ty Cổ phần Địa ốc Sài Gòn Thương Tín,Bất động sản
SD3,SD3,Công ty Cổ phần Sông Đà 3,Xây dựng
SD5,SD5,Công ty Cổ phần Sông Đà 5,Xây dựng
HNM,HNM,Công ty Cổ phần Sữa Hà Nội,Thực phẩm
SD8,SD8,Công ty Cổ phần Sông Đà 8,Xây dựng
SD7,SD7,Công ty Cổ phần Sông Đà 7,Xây dựng
SD9,SD9,Công ty Cổ phần Sông Đà 9,Xây dựng
HNP,HNP,Công ty cổ phần Hanel Xốp nhựa,"Nhựa, cao su & sợi"
HNR,HNR,Công ty Cổ phần Rượu và Nước giải khát Hà Nội,Vang & Rượu mạnh
SDB,SDB,Công ty Cổ phần Sông Đà 207,Xây dựng
SDA,SDA,Công ty Cổ phần Simco Sông Đà,Đào tạo & Việc làm
BBS,BBS,Công ty Cổ phần VICEM Bao bì Bút Sơn,Containers & Đóng gói
SDC,SDC,Công ty Cổ phần Tư vấn sông Đà,Tư vấn & Hỗ trợ KD
SDG,SDG,Công ty Cổ phần SADICO Cần Thơ,Containers & Đóng gói
SDJ,SDJ,Công ty Cổ phần Sông Đà,Vật liệu xây dựng & Nội thất
SDK,SDK,Công ty Cổ phần Cơ khí Luyện kim,Máy công nghiệp
SDN,SDN,Công ty Cổ phần Sơn Đồng Nai,Vật liệu xây dựng & Nội thất
SDP,SDP,Công ty cổ phần SDP,Xây dựng
DGC,DGC,Công ty cổ phần Tập đoàn Hóa chất Đức Giang,"Sản phẩm hóa dầu, Nông dược & Hóa chất khác"
SDT,SDT,Công ty Cổ phần Sông Đà 10,Xây dựng
